minT: 1  maxT: 10
Work Load
CS Length 
11 0.999 0.999 0.001
12 0.99 0.967 0.002
13 0.899 0.829 0.0
14 0.77 0.686 0.002
15 0.597 0.509 0.001
16 0.536 0.431 0.0
17 0.423 0.32 0.001
18 0.37 0.272 0.0
19 0.291 0.187 0.0
110 0.256 0.168 0.002
111 0.219 0.123 0.002
112 0.174 0.091 0.001
113 0.157 0.093 0.0
114 0.145 0.079 0.003
115 0.125 0.067 0.001
116 0.128 0.06 0.002
117 0.093 0.038 0.0
118 0.089 0.044 0.001
119 0.078 0.025 0.002
120 0.079 0.033 0.002
121 0.074 0.033 0.001
122 0.087 0.031 0.002
123 0.076 0.023 0.003
124 0.054 0.018 0.002
125 0.054 0.011 0.002
126 0.054 0.014 0.0
127 0.059 0.016 0.0
128 0.058 0.018 0.001
129 0.042 0.012 0.002
130 0.042 0.011 0.002
131 0.063 0.017 0.006
132 0.058 0.02 0.002
133 0.051 0.016 0.005
134 0.048 0.013 0.003
135 0.044 0.012 0.004
136 0.053 0.011 0.002
137 0.056 0.016 0.006
138 0.043 0.009 0.003
139 0.047 0.011 0.004
140 0.061 0.017 0.007
141 0.041 0.013 0.004
142 0.052 0.016 0.011
143 0.063 0.019 0.013
144 0.053 0.013 0.008
145 0.046 0.006 0.005
146 0.06 0.009 0.007
147 0.04 0.007 0.004
148 0.064 0.012 0.007
149 0.051 0.008 0.003
150 0.042 0.007 0.006
151 0.053 0.01 0.005
152 0.059 0.015 0.016
153 0.059 0.014 0.011
154 0.07 0.009 0.011
155 0.076 0.011 0.006
156 0.069 0.012 0.013
157 0.067 0.015 0.008
158 0.074 0.01 0.009
159 0.076 0.014 0.016
160 0.076 0.018 0.022
161 0.086 0.019 0.019
162 0.064 0.006 0.008
163 0.077 0.014 0.021
164 0.074 0.017 0.013
165 0.103 0.018 0.02
166 0.08 0.019 0.024
167 0.096 0.015 0.019
168 0.101 0.014 0.02
169 0.089 0.014 0.018
170 0.089 0.015 0.024
171 0.106 0.018 0.019
172 0.115 0.03 0.039
173 0.109 0.015 0.025
174 0.127 0.018 0.037
175 0.102 0.017 0.026
176 0.118 0.019 0.028
177 0.112 0.013 0.026
178 0.111 0.018 0.031
179 0.131 0.027 0.047
180 0.097 0.016 0.023
181 0.117 0.013 0.033
182 0.13 0.034 0.04
183 0.125 0.027 0.041
184 0.141 0.022 0.042
185 0.133 0.022 0.038
186 0.138 0.031 0.056
187 0.153 0.028 0.048
188 0.148 0.029 0.054
189 0.154 0.029 0.055
190 0.159 0.025 0.05
191 0.154 0.029 0.053
192 0.152 0.031 0.054
193 0.138 0.023 0.055
194 0.168 0.02 0.06
195 0.204 0.035 0.074
196 0.17 0.031 0.056
197 0.182 0.033 0.068
198 0.194 0.035 0.075
199 0.176 0.039 0.069
1100 0.19 0.031 0.072
1101 0.189 0.029 0.065
1102 0.192 0.028 0.059
1103 0.186 0.036 0.071
1104 0.199 0.042 0.09
1105 0.206 0.036 0.079
1106 0.201 0.034 0.075
1107 0.193 0.033 0.069
1108 0.209 0.033 0.083
1109 0.239 0.035 0.1
1110 0.22 0.038 0.093
1111 0.218 0.04 0.093
1112 0.235 0.044 0.096
1113 0.249 0.05 0.111
1114 0.249 0.046 0.117
1115 0.254 0.05 0.113
1116 0.237 0.049 0.108
1117 0.244 0.049 0.097
1118 0.251 0.044 0.111
1119 0.23 0.033 0.101
1120 0.262 0.053 0.13
1121 0.254 0.047 0.116
1122 0.254 0.05 0.119
1123 0.219 0.04 0.095
1124 0.254 0.044 0.126
1125 0.26 0.058 0.14
1126 0.289 0.055 0.135
1127 0.285 0.056 0.125
1128 0.26 0.047 0.114
1129 0.275 0.059 0.117
1130 0.275 0.056 0.134
1131 0.253 0.046 0.137
1132 0.274 0.045 0.132
1133 0.291 0.061 0.151
1134 0.29 0.066 0.15
1135 0.297 0.07 0.171
1136 0.295 0.065 0.161
1137 0.292 0.068 0.153
1138 0.296 0.054 0.147
1139 0.307 0.064 0.175
1140 0.288 0.067 0.149
1141 0.301 0.071 0.16
1142 0.304 0.048 0.159
1143 0.309 0.066 0.167
1144 0.311 0.073 0.173
1145 0.294 0.067 0.167
1146 0.317 0.086 0.189
1147 0.336 0.075 0.176
1148 0.313 0.072 0.178
1149 0.331 0.059 0.189
1150 0.314 0.072 0.185
1151 0.332 0.08 0.182
1152 0.295 0.064 0.187
1153 0.33 0.072 0.201
1154 0.325 0.078 0.195
1155 0.333 0.077 0.194
1156 0.339 0.084 0.197
1157 0.298 0.069 0.186
1158 0.33 0.084 0.223
1159 0.311 0.08 0.204
1160 0.318 0.098 0.199
1161 0.332 0.073 0.211
1162 0.318 0.08 0.208
1163 0.35 0.089 0.23
1164 0.314 0.087 0.201
1165 0.353 0.102 0.243
1166 0.299 0.065 0.187
1167 0.336 0.087 0.235
1168 0.325 0.078 0.218
1169 0.315 0.074 0.21
1170 0.327 0.074 0.23
1171 0.298 0.076 0.217
1172 0.344 0.099 0.24
1173 0.321 0.092 0.242
1174 0.334 0.089 0.24
1175 0.317 0.081 0.221
1176 0.325 0.11 0.248
1177 0.309 0.098 0.225
1178 0.341 0.085 0.229
1179 0.311 0.098 0.226
1180 0.321 0.099 0.263
1181 0.306 0.079 0.242
1182 0.297 0.09 0.232
1183 0.313 0.109 0.244
1184 0.343 0.11 0.264
1185 0.317 0.113 0.242
1186 0.325 0.116 0.255
1187 0.318 0.108 0.241
1188 0.301 0.11 0.244
1189 0.317 0.121 0.263
1190 0.333 0.114 0.268
1191 0.324 0.104 0.244
1192 0.295 0.105 0.232
1193 0.332 0.12 0.266
1194 0.3 0.108 0.242
1195 0.322 0.103 0.259
1196 0.308 0.107 0.257
1197 0.303 0.113 0.262
1198 0.313 0.119 0.269
1199 0.275 0.105 0.263
1200 0.304 0.102 0.269
1201 0.28 0.102 0.272
1202 0.288 0.101 0.257
1203 0.257 0.127 0.258
1204 0.288 0.117 0.263
1205 0.275 0.133 0.282
1206 0.261 0.107 0.262
1207 0.256 0.093 0.269
1208 0.26 0.125 0.284
1209 0.244 0.131 0.269
1210 0.245 0.13 0.279
1211 0.258 0.131 0.269
1212 0.255 0.12 0.291
1213 0.262 0.116 0.26
1214 0.243 0.106 0.276
1215 0.227 0.113 0.268
1216 0.239 0.118 0.268
1217 0.237 0.122 0.264
1218 0.243 0.124 0.294
1219 0.207 0.109 0.267
1220 0.223 0.126 0.275
1221 0.225 0.128 0.269
1222 0.216 0.121 0.273
1223 0.222 0.12 0.284
1224 0.213 0.127 0.274
1225 0.213 0.131 0.27
1226 0.225 0.119 0.286
1227 0.208 0.136 0.266
1228 0.199 0.131 0.275
